SentPacketsSize(Bytes),RecievedPacketsCount,label
108,2,0
108,2,0
3008,6,1
3008,2,1
1508,6,1
1508,2,1
21887,3,1
21887,2,1
30416,2,1
30416,2,1
13895,6,1
13895,2,1
1007,2,0
1007,2,0
29463,4,1
29463,2,1
308,2,0
308,2,0
358,6,0
358,2,0
4008,4,1
4008,2,1
3058,9,1
3058,2,1
408,3,0
408,2,0
4131,3,1
4131,2,1
11008,9,1
11008,2,1
620,2,0
620,2,0
250,3,0
250,2,0
6331,4,1
6331,2,1
411,3,0
411,2,0
21542,6,1
21542,2,1
7004,6,1
7004,2,1
179,2,0
179,2,0
3982,4,1
3982,2,1
44214,9,1
44214,2,1
8924,6,1
8924,2,1
741,2,0
741,2,0
31488,4,1
31488,2,1
371,2,0
371,2,0
115,4,0
115,2,0
52410,6,1
52410,2,1
46150,6,1
46150,2,1
348,4,0
348,2,0
6458,4,1
6458,2,1
42981,9,1
42981,2,1
526,4,0
526,2,0
418,2,0
418,2,0
15812,6,1
15812,2,1
51287,9,1
51287,2,1
715,4,0
715,2,0
674,2,0
674,2,0
41549,6,1
41549,2,1
15379,4,1
15379,2,1
584,4,0
584,2,0
34658,6,1
34658,2,1
23496,9,1
23496,2,1
406,4,0
406,2,0
791,4,0
791,2,0
27841,6,1
27841,2,1
37412,9,1
37412,2,1
717,4,0
717,2,0
